counter,status,resp_time
943,Good,34.033
944,Good,33.847
945,Good,33.785
946,Good,36.138
947,Good,35.233
948,Good,33.547
949,Good,33.225
950,Good,34.211
951,Good,33.884
952,Good,34.306
953,Good,32.936
954,Good,34.220
955,Good,34.561
956,Good,34.321
957,Good,33.860
958,Good,36.508
959,Good,33.547
960,Good,34.364
961,Good,34.538
962,Good,34.135
963,Good,34.129
964,Good,33.952
965,Good,32.959
966,Good,33.567
967,Good,34.165
968,Good,32.621
969,Good,34.109
970,Good,33.569
971,Good,34.418
972,Good,33.402
973,Good,34.772
974,Good,36.441
975,Good,35.051
976,Good,34.254
977,Good,36.321
978,Good,33.113
979,Good,33.615
980,Good,32.965
981,Good,33.825
982,Good,34.044
983,Good,34.522
984,Good,34.959
985,Good,34.755
986,Good,33.997
987,Good,35.175
988,Good,35.488
989,Good,36.066
990,Good,36.033
991,Good,34.165
992,Good,34.027
993,Good,34.370
994,Good,32.774
995,Good,34.655
996,Good,34.111
997,Good,33.865
998,Good,33.784
999,Good,33.972
